"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"1",1,"Justin Jefferson",MIN,"13","4.0","0","+1.4","56% (9/16)"
"2",1,"Ja'Marr Chase",CIN,"7","5.6","0","-1.2","33% (4/12)"
"3",1,"Tyreek Hill",MIA,"10","4.2","0","+1.0","50% (8/16)"
"4",2,"Stefon Diggs",BUF,"13","1.0","+1","-0.9","43% (7/16)"
"5",2,"Cooper Kupp",LAR,"10","4.4","-1","0.0","66% (6/9)"
"6",2,"CeeDee Lamb",DAL,"7","2.8","0","+0.7","50% (8/16)"
"7",2,"A.J. Brown",PHI,"10","5.0","0","+0.6","50% (8/16)"
"8",2,"Amon-Ra St. Brown",DET,"9","4.4","+2","-0.4","33% (5/15)"
"9",2,"Davante Adams",LV,"13","1.8","-1","+0.5","43% (7/16)"
"10",2,"Garrett Wilson",NYJ,"7","3.6","-1","-0.4","31% (5/16)"
"11",3,"Jaylen Waddle",MIA,"10","4.4","0","+0.3","50% (8/16)"
"12",3,"Chris Olave",NO,"11","9.0","0","-0.5","35% (5/14)"
"13",3,"DeVonta Smith",PHI,"10","5.2","0","+1.7","62% (10/16)"
"14",3,"Tee Higgins",CIN,"7","6.0","0","-1.3","37% (6/16)"
"15",3,"DK Metcalf",SEA,"5","6.8","0","-1.9","43% (7/16)"
"16",3,"Calvin Ridley",JAC,"9","8.6","0","-","-"
"17",4,"Amari Cooper",CLE,"5","5.6","+1","+0.5","43% (7/16)"
"18",4,"Keenan Allen",LAC,"5","4.6","+1","-2.0","50% (5/10)"
"19",4,"Deebo Samuel",SF,"9","6.8","-2","-2.8","25% (3/12)"
"20",4,"DJ Moore",CHI,"13","4.4","0","-1.0","37% (6/16)"
"21",4,"DeAndre Hopkins",TEN,"7","5.6","0","-0.9","33% (3/9)"
"22",4,"Drake London",ATL,"11","5.2","+2","-1.2","43% (7/16)"
"23",4,"Christian Watson",GB,"6","5.2","0","+2.6","46% (6/13)"
"24",4,"Tyler Lockett",SEA,"5","5.0","+3","+0.1","53% (8/15)"
